Date,Price,Open,High,Low,Volume,Change %
"Feb 28, 2024",61019.40,57048.70,61287.30,56704.90,105240.00,6.95%
"Feb 27, 2024",57056.20,54491.10,57555.20,54464.00,100480.00,4.70%
"Feb 09, 2024",47127.50,45293.30,48118.80,45254.20,98110.00,4.05%
"Feb 12, 2024",49941.30,48280.20,50277.30,47729.90,81850.00,3.45%
"Feb 14, 2024",51782.40,49708.60,52010.70,49263.80,80350.00,4.16%
"Feb 13, 2024",49716.00,49941.00,50326.60,48398.30,78510.00,-0.45%
"Feb 26, 2024",54495.10,51722.70,54899.10,50925.20,78050.00,5.36%
"Feb 15, 2024",51901.30,51805.20,52819.40,51327.50,74720.00,0.23%
"Feb 20, 2024",52263.50,51783.10,52936.80,50801.80,68100.00,0.93%
"Feb 08, 2024",45293.30,44346.20,45579.20,44336.40,66380.00,2.15%
"Feb 21, 2024",51858.20,52263.50,52367.30,50676.90,59020.00,-0.78%
"Jan 31, 2024",42580.50,42946.20,43739.70,42315.40,56480.00,-0.85%
"Jan 30, 2024",42946.20,43303.30,43817.90,42702.90,55130.00,-0.82%
"Feb 16, 2024",52134.20,51901.40,52556.70,51612.60,52860.00,0.45%
"Feb 22, 2024",51320.40,51850.20,52015.80,50947.30,50270.00,-1.04%
"Feb 07, 2024",44339.80,43088.40,44367.90,42783.50,48570.00,2.91%
"Feb 01, 2024",43081.40,42580.10,43263.10,41890.50,47690.00,1.18%
"Jan 29, 2024",43299.80,42031.40,43305.60,41824.70,45230.00,3.02%
"Feb 23, 2024",50740.50,51320.60,51532.50,50537.60,43270.00,-1.13%
"Feb 02, 2024",43194.70,43083.70,43459.30,42596.30,42650.00,0.26%
"Feb 05, 2024",42697.20,42581.40,43532.20,42272.50,39260.00,0.27%
"Feb 19, 2024",51783.60,52119.60,52484.80,51694.20,36730.00,-0.64%
"Feb 11, 2024",48277.30,47759.30,48531.60,47590.20,36500.00,1.09%
"Feb 06, 2024",43087.70,42697.60,43375.50,42566.80,33320.00,0.91%
"Jan 28, 2024",42030.70,42121.30,42817.10,41649.00,32530.00,-0.21%
"Feb 17, 2024",51646.00,52134.20,52175.50,50652.30,32450.00,-0.94%
"Feb 10, 2024",47758.20,47128.00,48149.00,46875.00,31200.00,1.34%
"Feb 18, 2024",52117.50,51646.00,52350.30,51199.60,26890.00,0.91%
"Feb 25, 2024",51722.70,51572.10,51952.00,51299.00,23610.00,0.29%
"Feb 24, 2024",51571.60,50739.60,51689.90,50592.00,20990.00,1.64%
"Feb 04, 2024",42581.40,43006.20,43113.20,42379.40,20330.00,-0.99%
"Feb 03, 2024",43005.70,43194.70,43370.40,42882.00,14570.00,-0.44%
